listing_index,iteration,time_s,q_in_m3s,q_out_m3s,q_net_m3s,relerr_in,relerr_out,boundary_fluxes_signed_m3s
1,100,2.6129,2.00005,1.954839,0.04521099999999989,2.4999999999941735e-05,0.022580500000000003,1:-1.954839;2:2.00005
2,200,4.3472,2.000064,1.965978,0.03408600000000006,3.2000000000032e-05,0.017011,1:-1.965978;2:2.000064
3,300,6.0768,2.000026,1.967593,0.032433000000000156,1.3000000000040757e-05,0.016203500000000037,1:-1.967593;2:2.000026
4,400,7.8093,1.999988,1.971079,0.028909000000000074,5.999999999950489e-06,0.014460499999999987,1:-1.971079;2:1.999988
5,500,9.5374,1.999951,1.973154,0.02679699999999996,2.449999999998287e-05,0.013422999999999963,1:-1.973154;2:1.999951
6,600,11.2636,2.000009,1.976893,0.023115999999999914,4.499999999962867e-06,0.011553499999999994,1:-1.976893;2:2.000009
7,700,12.9887,1.999995,1.978471,0.021523999999999877,2.500000000016378e-06,0.010764499999999955,1:-1.978471;2:1.999995
8,800,14.7139,2.000003,1.980734,0.01926899999999998,1.4999999999876223e-06,0.009633000000000003,1:-1.980734;2:2.000003
9,900,16.4392,2.000001,1.982203,0.017798000000000203,5.00000000069889e-07,0.008898500000000031,1:-1.982203;2:2.000001
10,1000,18.1647,1.999993,1.984449,0.015544000000000002,3.5000000000451337e-06,0.007775500000000046,1:-1.984449;2:1.999993
11,1100,19.8905,2.000013,1.984617,0.015395999999999965,6.500000000020378e-06,0.007691499999999962,1:-1.984617;2:2.000013
12,1200,21.6157,1.999998,1.984514,0.015484000000000053,1.0000000000287557e-06,0.007743000000000055,1:-1.984514;2:1.999998
13,1300,23.3408,1.999998,1.986015,0.013982999999999857,1.0000000000287557e-06,0.006992499999999957,1:-1.986015;2:1.999998
14,1400,25.0666,2.000006,1.987053,0.012952999999999992,2.9999999999752447e-06,0.006473500000000021,1:-1.987053;2:2.000006
15,1500,26.7924,2.000004,1.988308,0.01169600000000015,2.0000000000575113e-06,0.005846000000000018,1:-1.988308;2:2.000004
16,1600,28.5182,2.000002,1.989858,0.01014399999999993,9.999999999177334e-07,0.005071000000000048,1:-1.989858;2:2.000002
17,1700,30.2443,1.999999,1.991383,0.008616000000000179,4.999999999588667e-07,0.004308500000000048,1:-1.991383;2:1.999999
18,1800,31.9701,1.999999,1.991787,0.008212000000000108,4.999999999588667e-07,0.004106500000000013,1:-1.991787;2:1.999999
19,1900,33.6959,1.999995,1.991566,0.00842900000000002,2.500000000016378e-06,0.004217000000000026,1:-1.991566;2:1.999995
